time,has_motion,NoGesture_confidence,Gesture_confidence,Move_confidence,label
0.125,0,0,0,0,Gesture
0.15625,0,0,0,0,Gesture
0.1875,0,0,0,0,Gesture
0.21875,0,0,0,0,Gesture
0.25,0,0,0,0,Gesture
0.28125,0,0,0,0,Gesture
0.3125,0,0,0,0,Gesture
0.34375,0,0,0,0,Gesture
0.375,0,0,0,0,Gesture
0.40625,0,0,0,0,Gesture
0.4375,0,0,0,0,Gesture
0.46875,0,0,0,0,Gesture
0.5,0,0,0,0,Gesture
0.53125,0,0,0,0,Gesture
0.5625,0,0,0,0,Gesture
0.59375,0,0,0,0,Gesture
0.625,0,0,0,0,Gesture
0.65625,0,0,0,0,Gesture
0.6875,0,0,0,0,Gesture
0.71875,0,0,0,0,Gesture
0.75,0,0,0,0,Gesture
0.78125,0,0,0,0,Gesture
0.8125,0,0,0,0,Gesture
0.84375,0,0,0,0,Gesture
0.875,0,0,0,0,Gesture
0.90625,0,0,0,0,Gesture
0.9375,0,0,0,0,Gesture
0.96875,0,0,0,0,Gesture
1.0,0,0,0,0,Gesture
1.03125,0,0,0,0,Gesture
1.0625,0,0,0,0,Gesture
1.09375,0,0,0,0,Gesture
1.125,0,0,0,0,Gesture
1.15625,0,0,0,0,Gesture
1.1875,0,0,0,0,Gesture
1.21875,0,0,0,0,Gesture
1.25,0,0,0,0,Gesture
1.28125,0,0,0,0,Gesture
1.3125,0,0,0,0,Gesture
1.34375,0,0,0,0,Gesture
1.375,0,0,0,0,Gesture
1.40625,0,0,0,0,Gesture
1.4375,0,0,0,0,Gesture
1.46875,0,0,0,0,Gesture
1.5,0,0,0,0,Gesture
1.53125,0,0,0,0,Gesture
1.5625,0,0,0,0,Gesture
1.59375,0,0,0,0,Gesture
1.625,0,0,0,0,Gesture
1.65625,0,0,0,0,Gesture
1.6875,0,0,0,0,Gesture
1.71875,0,0,0,0,Gesture
1.75,0,0,0,0,Gesture
1.78125,0,0,0,0,Gesture
1.8125,0,0,0,0,Gesture
1.84375,0,0,0,0,Gesture
1.875,0,0,0,0,Gesture
1.90625,0,0,0,0,Gesture
1.9375,0,0,0,0,Gesture
1.96875,0,0,0,0,Gesture
2.0,0,0,0,0,Gesture
2.03125,0,0,0,0,Gesture
2.0625,0,0,0,0,Gesture
2.09375,0,0,0,0,Gesture
2.125,0,0,0,0,Gesture
2.15625,0,0,0,0,Gesture
2.1875,0,0,0,0,Gesture
2.21875,0,0,0,0,Gesture
2.25,0,0,0,0,Gesture
2.28125,0,0,0,0,Gesture
2.3125,0,0,0,0,Gesture
2.34375,0,0,0,0,Gesture
2.375,0,0,0,0,Gesture
2.40625,0,0,0,0,Gesture
2.4375,0,0,0,0,Gesture
2.46875,0,0,0,0,Gesture
2.5,0,0,0,0,Gesture
2.53125,0,0,0,0,Gesture
2.5625,0,0,0,0,Gesture
2.59375,0,0,0,0,Gesture
2.625,0,0,0,0,Gesture
2.65625,0,0,0,0,Gesture
2.6875,0,0,0,0,Gesture
2.71875,0,0,0,0,Gesture
2.75,0,0,0,0,Gesture
2.78125,0,0,0,0,Gesture
2.8125,0,0,0,0,Gesture
