time,label,BIO
0.125,NoGesture,O
0.15625,NoGesture,O
0.1875,NoGesture,O
0.21875,NoGesture,O
0.25,NoGesture,O
0.28125,NoGesture,O
0.3125,NoGesture,O
0.34375,NoGesture,O
0.375,NoGesture,O
0.40625,NoGesture,O
0.4375,NoGesture,O
0.46875,NoGesture,O
0.5,NoGesture,O
0.53125,NoGesture,O
0.5625,NoGesture,O
0.59375,NoGesture,O
0.625,NoGesture,O
0.65625,NoGesture,O
0.6875,NoGesture,O
0.71875,NoGesture,O
0.75,NoGesture,O
0.78125,NoGesture,O
0.8125,NoGesture,O
0.84375,NoGesture,O
0.875,NoGesture,O
0.90625,NoGesture,O
0.9375,NoGesture,O
0.96875,NoGesture,O
1.0,NoGesture,O
1.03125,NoGesture,O
1.0625,NoGesture,O
1.09375,NoGesture,O
1.125,NoGesture,O
1.15625,NoGesture,O
1.1875,NoGesture,O
1.21875,NoGesture,O
1.25,NoGesture,O
1.28125,NoGesture,O
1.3125,NoGesture,O
1.34375,NoGesture,O
1.375,NoGesture,O
1.40625,NoGesture,O
1.4375,NoGesture,O
1.46875,NoGesture,O
1.5,NoGesture,O
1.53125,NoGesture,O
1.5625,NoGesture,O
1.59375,NoGesture,O
1.625,NoGesture,O
1.65625,NoGesture,O
1.6875,NoGesture,O
1.71875,NoGesture,O
1.75,NoGesture,O
1.78125,NoGesture,O
1.8125,NoGesture,O
1.84375,NoGesture,O
1.875,NoGesture,O
1.90625,NoGesture,O
1.9375,NoGesture,O
1.96875,NoGesture,O
2.0,NoGesture,O
2.03125,NoGesture,O
2.0625,NoGesture,O
2.09375,NoGesture,O
2.125,NoGesture,O
2.15625,NoGesture,O
2.1875,NoGesture,O
2.21875,NoGesture,O
2.25,NoGesture,O
2.28125,NoGesture,O
2.3125,NoGesture,O
2.34375,NoGesture,O
2.375,NoGesture,O
2.40625,NoGesture,O
2.4375,NoGesture,O
2.46875,NoGesture,O
2.5,NoGesture,O
2.53125,NoGesture,O
2.5625,NoGesture,O
2.59375,NoGesture,O
2.625,NoGesture,O
2.65625,NoGesture,O
2.6875,NoGesture,O
2.71875,NoGesture,O
2.75,NoGesture,O
2.78125,NoGesture,O
2.8125,NoGesture,O
2.84375,NoGesture,O
2.875,NoGesture,O
2.90625,NoGesture,O
2.9375,NoGesture,O
2.96875,NoGesture,O
3.0,NoGesture,O
3.03125,NoGesture,O
3.0625,NoGesture,O
3.09375,NoGesture,O
3.125,NoGesture,O
3.15625,NoGesture,O
3.1875,NoGesture,O
3.21875,NoGesture,O
3.25,NoGesture,O
3.28125,NoGesture,O
3.3125,NoGesture,O
3.34375,NoGesture,O
3.375,NoGesture,O
3.40625,NoGesture,O
3.4375,NoGesture,O
3.46875,NoGesture,O
3.5,NoGesture,O
3.53125,NoGesture,O
3.5625,NoGesture,O
3.59375,NoGesture,O
3.625,NoGesture,O
3.65625,NoGesture,O
3.6875,NoGesture,O
3.71875,NoGesture,O
3.75,NoGesture,O
3.78125,NoGesture,O
3.8125,NoGesture,O
3.84375,NoGesture,O
3.875,NoGesture,O
3.90625,NoGesture,O
3.9375,NoGesture,O
3.96875,NoGesture,O
4.0,NoGesture,O
4.03125,NoGesture,O
4.0625,NoGesture,O
4.09375,NoGesture,O
4.125,NoGesture,O
4.15625,NoGesture,O
4.1875,NoGesture,O
4.21875,NoGesture,O
4.25,NoGesture,O
4.28125,Gesture,B
4.3125,Gesture,I
4.34375,Gesture,I
4.375,Gesture,I
4.40625,Gesture,I
4.4375,Gesture,I
4.46875,Gesture,I
4.5,Gesture,I
4.53125,Gesture,I
4.5625,Gesture,I
4.59375,Gesture,I
4.625,Gesture,I
4.65625,Gesture,I
4.6875,Gesture,I
4.71875,Gesture,I
4.75,Gesture,I
4.78125,Gesture,I
4.8125,Gesture,I
4.84375,Gesture,I
4.875,Gesture,I
4.90625,Gesture,I
4.9375,Gesture,I
4.96875,Gesture,I
5.0,Gesture,I
5.03125,Gesture,I
5.0625,Gesture,I
5.09375,Gesture,I
5.125,Gesture,I
5.15625,Gesture,I
5.1875,Gesture,I
5.21875,Gesture,I
5.25,Gesture,I
5.28125,Gesture,I
5.3125,Gesture,I
5.34375,Gesture,I
5.375,Gesture,I
5.40625,Gesture,I
5.4375,Gesture,I
5.46875,Gesture,I
5.5,Gesture,I
5.53125,Gesture,I
5.5625,Gesture,I
5.59375,Gesture,I
5.625,Gesture,I
5.65625,Gesture,I
5.6875,Gesture,I
5.71875,Gesture,I
5.75,Gesture,I
5.78125,Gesture,I
5.8125,Gesture,I
5.84375,Gesture,I
5.875,Gesture,I
5.90625,Gesture,I
5.9375,Gesture,I
5.96875,Gesture,I
6.0,Gesture,I
6.03125,Gesture,I
6.0625,Gesture,I
6.09375,Gesture,I
6.125,Gesture,I
6.15625,Gesture,I
6.1875,NoGesture,O
6.21875,NoGesture,O
6.25,NoGesture,O
6.28125,NoGesture,O
6.3125,NoGesture,O
6.34375,NoGesture,O
6.375,NoGesture,O
6.40625,NoGesture,O
6.4375,NoGesture,O
6.46875,NoGesture,O
6.5,NoGesture,O
6.53125,NoGesture,O
6.5625,NoGesture,O
6.59375,NoGesture,O
6.625,NoGesture,O
6.65625,NoGesture,O
6.6875,NoGesture,O
6.71875,NoGesture,O
6.75,NoGesture,O
6.78125,NoGesture,O
6.8125,NoGesture,O
6.84375,NoGesture,O
6.875,NoGesture,O
6.90625,NoGesture,O
6.9375,NoGesture,O
6.96875,NoGesture,O
7.0,NoGesture,O
7.03125,NoGesture,O
7.0625,NoGesture,O
7.09375,NoGesture,O
7.125,NoGesture,O
7.1875,NoGesture,O
7.25,NoGesture,O
7.28125,NoGesture,O
7.3125,NoGesture,O
9.78125,NoGesture,O
9.875,NoGesture,O
9.90625,NoGesture,O
9.9375,NoGesture,O
9.96875,NoGesture,O
