framename,precision_Gesture,recall_Gesture,f1_Gesture,precision_NoGesture,recall_NoGesture,f1_NoGesture,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy
000,0.5675675675675675,0.6176470588235294,0.5915492957746479,0.8925619834710744,0.8709677419354839,0.8816326530612245,0.730064775519321,0.7443074003795067,0.7365909744179362,0.8226264762513325,0.8164556962025317,0.8192096521261384,0.8164556962025317
001,0.17679558011049723,0.5245901639344263,0.2644628099173554,0.7819548872180451,0.41106719367588934,0.538860103626943,0.47937523366427115,0.46782867880515777,0.4016614567721492,0.6643920918882348,0.43312101910828027,0.485553623001832,0.43312101910828027
002,0.041666666666666664,0.7777777777777778,0.07909604519774012,0.9861111111111112,0.46864686468646866,0.6353467561521253,0.513888888888889,0.6232123212321232,0.35722140067493274,0.9588675213675214,0.4775641025641026,0.6193010625669026,0.4775641025641026
003,0.6458333333333334,0.21232876712328766,0.31958762886597936,0.5708955223880597,0.9,0.6986301369863014,0.6083644278606966,0.5561643835616439,0.5091088829261403,0.6055186882045469,0.5822784810126582,0.5235029022218488,0.5822784810126582
004,0.0,0.0,0.0,1.0,0.7396825396825397,0.8503649635036497,0.5,0.36984126984126986,0.4251824817518248,1.0,0.7396825396825397,0.8503649635036495,0.7396825396825397
005,0.0,0.0,0.0,1.0,0.19936708860759494,0.3324538258575198,0.5,0.09968354430379747,0.1662269129287599,1.0,0.19936708860759494,0.3324538258575198,0.19936708860759494
006,0.0,0.0,0.0,1.0,0.40189873417721517,0.5733634311512416,0.5,0.20094936708860758,0.2866817155756208,1.0,0.40189873417721517,0.5733634311512416,0.40189873417721517
007,0.9781021897810219,0.5425101214574899,0.6979166666666666,0.3651685393258427,0.9558823529411765,0.5284552845528455,0.6716353645534323,0.7491962371993333,0.6131859756097561,0.8457863541272054,0.6317460317460317,0.6613345270357466,0.6317460317460317
008,0.425,0.8095238095238095,0.5573770491803278,0.9855072463768116,0.9220338983050848,0.9527145359019265,0.7052536231884058,0.8657788539144471,0.7550457925411271,0.9482583470922767,0.9145569620253164,0.9264421079868835,0.9145569620253164
009,0.0,0.0,0.0,1.0,0.8757961783439491,0.933786078098472,0.5,0.43789808917197454,0.466893039049236,1.0,0.8757961783439491,0.933786078098472,0.8757961783439491
010,0.1518987341772152,0.1411764705882353,0.14634146341463414,0.6893617021276596,0.7074235807860262,0.6982758620689655,0.4206302181524374,0.42430002568713077,0.42230866274179985,0.5438701343703737,0.554140127388535,0.5488668688026657,0.554140127388535
011,0.6008230452674898,0.7978142076502732,0.6854460093896714,0.4714285714285714,0.25384615384615383,0.33,0.5361258083480306,0.5258301807482135,0.5077230046948357,0.5470809315324757,0.5718849840255591,0.5378166764163255,0.5718849840255591
012,0.0,0.0,0.0,1.0,0.3973941368078176,0.5687645687645687,0.5,0.1986970684039088,0.28438228438228436,1.0,0.3973941368078176,0.5687645687645687,0.3973941368078176
013,0.5242718446601942,0.3312883435582822,0.40601503759398494,0.43523316062176165,0.631578947368421,0.5153374233128835,0.4797525026409779,0.4814336454633516,0.4606762304534342,0.48426459811589845,0.46621621621621623,0.45513624469065217,0.46621621621621623
014,0.0,0.0,0.0,1.0,0.8132911392405063,0.8970331588132635,0.5,0.40664556962025317,0.44851657940663175,1.0,0.8132911392405063,0.8970331588132635,0.8132911392405063
015,0.0,0.0,0.0,1.0,0.8698412698412699,0.9303904923599321,0.5,0.43492063492063493,0.46519524617996605,1.0,0.8698412698412699,0.930390492359932,0.8698412698412699
016,0.0,0.0,0.0,1.0,0.9746835443037974,0.9871794871794872,0.5,0.4873417721518987,0.4935897435897436,1.0,0.9746835443037974,0.9871794871794872,0.9746835443037974
017,0.0,0.0,0.0,1.0,0.6366559485530546,0.7779960707269156,0.5,0.3183279742765273,0.3889980353634578,1.0,0.6366559485530546,0.7779960707269156,0.6366559485530546
018,0.0,0.0,0.0,1.0,0.6075949367088608,0.7559055118110236,0.5,0.3037974683544304,0.3779527559055118,1.0,0.6075949367088608,0.7559055118110236,0.6075949367088608
019,0.0,0.0,0.0,1.0,0.9873417721518988,0.9936305732484076,0.5,0.4936708860759494,0.4968152866242038,1.0,0.9873417721518988,0.9936305732484075,0.9873417721518988
020,0.0,0.0,0.0,1.0,0.9171974522292994,0.9568106312292359,0.5,0.4585987261146497,0.47840531561461797,1.0,0.9171974522292994,0.9568106312292359,0.9171974522292994
021,0.0,0.0,0.0,1.0,0.9683544303797469,0.9839228295819936,0.5,0.48417721518987344,0.4919614147909968,1.0,0.9683544303797469,0.9839228295819937,0.9683544303797469
022,0.8333333333333334,0.539906103286385,0.6552706552706553,0.449438202247191,0.7766990291262136,0.5693950177935944,0.6413857677902621,0.6583025662062993,0.6123328365321248,0.7082029583274071,0.6170886075949367,0.6272795455866766,0.6170886075949367
023,1.0,0.3942307692307692,0.5655172413793104,0.02072538860103627,1.0,0.04060913705583756,0.5103626943005182,0.6971153846153846,0.30306318921757397,0.9876041188430511,0.40189873417721517,0.558872834995469,0.40189873417721517
024,1.0,0.4588607594936709,0.6290672451193059,0.0,0.0,0.0,0.5,0.22943037974683544,0.31453362255965295,1.0,0.4588607594936709,0.6290672451193059,0.4588607594936709
025,0.6462882096069869,0.6981132075471698,0.671201814058957,0.2558139534883721,0.21359223300970873,0.2328042328042328,0.4510510815476795,0.45585272027843926,0.4520030234315949,0.5186093258602652,0.5396825396825397,0.5278527636804281,0.5396825396825397
AVERAGE,0.29198386555785794,0.2632987523075041,0.2411095754549706,0.7655461641694435,0.6731091217964683,0.6601408756016381,0.5287650148636508,0.46820393705198626,0.45062522552830436,0.8705800594607918,0.6482535935486594,0.7100706798675611,0.6482535935486594
