time,label
0.125,NoGesture
0.15625,NoGesture
0.1875,NoGesture
0.21875,NoGesture
0.25,NoGesture
0.28125,NoGesture
0.3125,NoGesture
0.34375,NoGesture
0.375,NoGesture
0.40625,NoGesture
0.4375,NoGesture
0.46875,NoGesture
0.5,NoGesture
0.53125,NoGesture
0.5625,NoGesture
0.59375,NoGesture
0.625,NoGesture
0.65625,NoGesture
0.6875,NoGesture
0.71875,NoGesture
0.75,NoGesture
0.78125,NoGesture
0.8125,NoGesture
0.84375,NoGesture
0.875,NoGesture
0.90625,NoGesture
0.9375,NoGesture
0.96875,NoGesture
1.0,NoGesture
1.03125,NoGesture
1.0625,NoGesture
1.09375,NoGesture
1.125,NoGesture
1.15625,NoGesture
1.1875,NoGesture
1.21875,NoGesture
1.25,NoGesture
1.28125,NoGesture
1.3125,NoGesture
1.34375,NoGesture
1.375,NoGesture
1.40625,NoGesture
1.4375,NoGesture
1.46875,NoGesture
1.5,NoGesture
1.53125,NoGesture
1.5625,NoGesture
1.59375,NoGesture
1.625,NoGesture
1.65625,NoGesture
1.6875,NoGesture
1.71875,NoGesture
1.75,NoGesture
1.78125,NoGesture
1.8125,NoGesture
1.84375,NoGesture
1.875,NoGesture
1.90625,NoGesture
1.9375,NoGesture
1.96875,NoGesture
2.0,NoGesture
2.03125,NoGesture
2.0625,NoGesture
2.09375,NoGesture
2.125,NoGesture
2.15625,NoGesture
2.1875,NoGesture
2.21875,NoGesture
2.25,NoGesture
2.28125,NoGesture
2.3125,NoGesture
2.34375,NoGesture
2.375,NoGesture
2.40625,NoGesture
2.4375,NoGesture
2.46875,NoGesture
2.5,NoGesture
2.53125,NoGesture
2.5625,NoGesture
2.59375,NoGesture
2.625,NoGesture
2.65625,NoGesture
2.6875,NoGesture
2.71875,NoGesture
2.75,NoGesture
2.78125,NoGesture
2.8125,NoGesture
2.84375,NoGesture
2.875,NoGesture
2.90625,NoGesture
2.9375,NoGesture
2.96875,NoGesture
3.0,NoGesture
3.03125,NoGesture
3.0625,NoGesture
3.09375,NoGesture
3.125,NoGesture
3.15625,NoGesture
3.1875,NoGesture
3.21875,NoGesture
3.25,NoGesture
3.28125,NoGesture
3.3125,NoGesture
3.34375,NoGesture
3.375,NoGesture
3.40625,NoGesture
3.4375,NoGesture
3.46875,NoGesture
3.5,NoGesture
3.53125,NoGesture
3.5625,NoGesture
3.59375,NoGesture
3.625,NoGesture
3.65625,NoGesture
3.6875,NoGesture
3.71875,NoGesture
3.75,NoGesture
3.78125,NoGesture
3.8125,NoGesture
3.84375,NoGesture
3.875,NoGesture
3.90625,NoGesture
3.9375,NoGesture
3.96875,NoGesture
4.0,NoGesture
4.03125,NoGesture
4.0625,NoGesture
4.09375,NoGesture
4.125,NoGesture
4.15625,NoGesture
4.1875,NoGesture
4.21875,NoGesture
4.25,NoGesture
4.28125,NoGesture
4.3125,NoGesture
4.34375,NoGesture
4.375,NoGesture
4.40625,NoGesture
4.4375,NoGesture
4.46875,NoGesture
4.5,NoGesture
4.53125,NoGesture
4.5625,NoGesture
4.59375,NoGesture
4.625,NoGesture
4.65625,NoGesture
4.6875,NoGesture
4.71875,NoGesture
4.75,NoGesture
4.78125,NoGesture
4.8125,NoGesture
4.84375,NoGesture
4.875,NoGesture
4.90625,NoGesture
4.9375,NoGesture
4.96875,NoGesture
5.0,NoGesture
5.03125,NoGesture
5.0625,NoGesture
5.09375,NoGesture
5.125,NoGesture
5.15625,NoGesture
5.1875,NoGesture
5.21875,NoGesture
5.25,NoGesture
5.28125,NoGesture
5.3125,NoGesture
5.34375,NoGesture
5.375,NoGesture
5.40625,NoGesture
5.4375,NoGesture
5.46875,NoGesture
5.5,NoGesture
5.53125,NoGesture
5.5625,NoGesture
5.59375,NoGesture
5.625,NoGesture
5.65625,NoGesture
5.6875,NoGesture
5.71875,NoGesture
5.75,NoGesture
5.78125,NoGesture
5.8125,NoGesture
5.84375,NoGesture
5.875,NoGesture
5.90625,NoGesture
5.9375,NoGesture
5.96875,NoGesture
6.0,NoGesture
6.03125,NoGesture
6.0625,NoGesture
6.09375,NoGesture
6.125,NoGesture
6.15625,NoGesture
6.1875,NoGesture
6.21875,NoGesture
6.25,NoGesture
6.28125,NoGesture
6.3125,NoGesture
6.34375,NoGesture
6.375,NoGesture
6.40625,NoGesture
6.4375,NoGesture
6.46875,NoGesture
6.5,NoGesture
6.53125,NoGesture
6.5625,NoGesture
6.59375,NoGesture
6.625,NoGesture
6.65625,NoGesture
6.6875,NoGesture
6.71875,NoGesture
6.75,NoGesture
6.78125,NoGesture
6.8125,NoGesture
6.84375,NoGesture
6.875,NoGesture
6.90625,NoGesture
6.9375,NoGesture
6.96875,NoGesture
7.0,NoGesture
7.03125,NoGesture
7.0625,NoGesture
7.09375,NoGesture
7.125,NoGesture
7.15625,NoGesture
7.1875,NoGesture
7.21875,NoGesture
7.25,NoGesture
7.28125,NoGesture
7.3125,NoGesture
7.34375,NoGesture
7.375,NoGesture
7.40625,NoGesture
7.4375,NoGesture
7.46875,NoGesture
7.5,NoGesture
7.53125,NoGesture
7.5625,NoGesture
7.59375,NoGesture
7.625,NoGesture
7.65625,NoGesture
7.6875,NoGesture
