start_time(s),end_time(s),label
0.0,11.06,NoGesture
11.06,12.42,Gesture
12.42,21.51,NoGesture
21.51,22.64,Gesture
22.64,29.21,NoGesture
29.21,35.63,Gesture
35.63,35.99,NoGesture
35.99,37.63,Gesture
37.63,45.939,NoGesture
45.939,49.459,Gesture
49.459,50.849,NoGesture
50.849,51.399,Gesture
51.399,58.999,NoGesture
58.999,59.749,Gesture
59.749,60.349,NoGesture
60.349,60.909,Gesture
60.909,62.407,NoGesture
62.407,63.477,Gesture
63.477,64.817,NoGesture
64.817,66.117,Gesture
66.117,68.797,NoGesture
68.797,69.24,Gesture
69.24,71.997,NoGesture
71.997,74.347,Gesture
74.347,75.067,NoGesture
75.067,75.987,Gesture
75.987,85.537,NoGesture
85.537,88.467,Gesture
88.467,88.827,NoGesture
88.827,90.837,Gesture
90.837,124.447,NoGesture
124.447,125.257,Gesture
125.257,127.944,NoGesture
127.944,129.394,Gesture
129.394,130.524,NoGesture
130.524,132.404,Gesture
132.404,132.984,NoGesture
132.984,135.23,Gesture
135.23,136.314,NoGesture
136.314,138.334,Gesture
138.334,140.444,NoGesture
140.444,141.324,Gesture
141.324,141.728,NoGesture
141.728,144.72,Gesture
144.72,149.294,NoGesture
149.294,150.564,Gesture
150.564,150.974,NoGesture
150.974,154.31,Gesture
154.31,158.344,NoGesture
158.344,161.874,Gesture
161.874,163.06,NoGesture
163.06,164.134,Gesture
164.134,168.55,NoGesture
168.55,169.394,Gesture
169.394,170.774,NoGesture
170.774,173.204,Gesture
173.204,194.224,NoGesture
194.224,202.25,Gesture
202.25,212.474,NoGesture
212.474,214.724,Gesture
214.724,219.122,NoGesture
219.122,220.362,Gesture
220.362,226.13,NoGesture
226.13,231.739,Gesture
231.739,239.329,NoGesture
239.329,240.279,Gesture
240.279,241.674,NoGesture
241.674,242.984,Gesture
242.984,244.359,NoGesture
244.359,244.869,Gesture
244.869,245.419,NoGesture
245.419,246.56,Gesture
246.56,247.599,NoGesture
247.599,248.259,Gesture
248.259,249.229,NoGesture
249.229,250.159,Gesture
250.159,250.809,NoGesture
250.809,251.679,Gesture
251.679,252.099,NoGesture
252.099,253.019,Gesture
253.019,254.309,NoGesture
254.309,256.719,Gesture
256.719,258.289,NoGesture
258.289,265.05,Gesture
265.05,267.789,NoGesture
267.789,269.489,Gesture
269.489,274.439,NoGesture
274.439,275.929,Gesture
275.929,276.309,NoGesture
276.309,283.62,Gesture
283.62,284.809,NoGesture
284.809,285.769,Gesture
285.769,300.0,NoGesture
