framename,precision_Gesture,recall_Gesture,f1_Gesture,precision_NoGesture,recall_NoGesture,f1_NoGesture,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy
000,0.9693486590038314,0.8322368421052632,0.8955752212389381,0.07272727272727272,0.3333333333333333,0.11940298507462686,0.5210379658655521,0.5827850877192983,0.5074891031567824,0.9352997456009241,0.8132911392405063,0.8661003261947238,0.8132911392405063
001,0.8061224489795918,0.6076923076923076,0.6929824561403509,0.7660550458715596,0.8978494623655914,0.8267326732673267,0.7860887474255758,0.7527708850289495,0.7598575647038388,0.7825384712008134,0.7784810126582279,0.7717088497657227,0.7784810126582279
002,0.00641025641025641,0.16666666666666666,0.012345679012345678,0.96875,0.5,0.6595744680851063,0.4875801282051282,0.3333333333333333,0.33596007354872603,0.9504777263875366,0.4936708860759494,0.6472853138622059,0.4936708860759494
003,0.3522012578616352,0.42748091603053434,0.38620689655172413,0.5222929936305732,0.44324324324324327,0.47953216374269003,0.43724712574610425,0.4353620796368888,0.4328695301472071,0.45178028038458945,0.43670886075949367,0.4408435244958022,0.43670886075949367
004,0.22380952380952382,0.4895833333333333,0.30718954248366015,0.5377358490566038,0.2590909090909091,0.3496932515337423,0.3807726864330638,0.3743371212121212,0.32844139700870123,0.44236582619673137,0.3291139240506329,0.336780732328654,0.3291139240506329
005,0.14754098360655737,0.574468085106383,0.23478260869565218,0.849624060150376,0.4200743494423792,0.5621890547263682,0.49858252187846663,0.4972712172743811,0.39848583171101015,0.745200311423922,0.4430379746835443,0.5134925263610401,0.4430379746835443
006,0.0,0.0,0.0,1.0,0.6317460317460317,0.77431906614786,0.5,0.31587301587301586,0.38715953307393,1.0,0.6317460317460317,0.77431906614786,0.6317460317460317
007,0.39768339768339767,0.8803418803418803,0.5478723404255319,0.7543859649122807,0.21608040201005024,0.3359375,0.5760346812978392,0.5482111411759653,0.44190492021276595,0.6223157105901943,0.4620253164556962,0.4144070453474279,0.4620253164556962
008,0.27419354838709675,0.68,0.39080459770114945,0.9166666666666666,0.6616541353383458,0.7685589519650655,0.5954301075268817,0.670827067669173,0.5796817748331075,0.8150095276983802,0.6645569620253164,0.7087876933790028,0.6645569620253164
009,0.29411764705882354,0.5172413793103449,0.375,0.8691588785046729,0.7209302325581395,0.788135593220339,0.5816382627817482,0.6190858059342421,0.5815677966101696,0.7636133360241056,0.6835443037974683,0.7123069083887578,0.6835443037974683
010,0.7272727272727273,0.11940298507462686,0.20512820512820512,0.8065573770491803,0.9879518072289156,0.8880866425992779,0.7669150521609538,0.5536773961517713,0.5466074238637415,0.7897470240902488,0.8037974683544303,0.743282163768386,0.8037974683544303
011,0.0,0.0,0.0,1.0,0.78839590443686,0.8816793893129771,0.5,0.39419795221843,0.44083969465648853,1.0,0.78839590443686,0.8816793893129771,0.78839590443686
012,0.0,0.0,0.0,1.0,0.6229508196721312,0.7676767676767676,0.5,0.3114754098360656,0.3838383838383838,1.0,0.6229508196721312,0.7676767676767676,0.6229508196721312
013,0.42592592592592593,0.38016528925619836,0.4017467248908297,0.6394230769230769,0.6820512820512821,0.6600496277915633,0.5326745014245013,0.5311082856537402,0.5308981763411965,0.5576725855602437,0.5664556962025317,0.5611425035795735,0.5664556962025317
014,0.0,0.0,0.0,1.0,0.8322784810126582,0.9084628670120898,0.5,0.4161392405063291,0.4542314335060449,1.0,0.8322784810126582,0.9084628670120898,0.8322784810126582
